**************************************
*    e-Kinetics Rate Coefficients    *
**************************************

ID   Ine.R.Coeff.(m^3s^-1) Sup.R.Coeff.(m^3s^-1) Threshold(eV)         Description
   9 5.81945734906160e-16  (N/A)                 +1.27000000000000e+00 +7.90839047007608e+18   e+O2(a1Dg)->e+O(3P)+O(1D),eedf
  10 1.09463235908991e-15  (N/A)                 +8.40000000000000e-01 +5.32317433158632e+16   e+O2(b1Sg+)->e+2O(3P),eedf
  11 8.76944036977167e-16  (N/A)                 +1.27000000000000e+00 +4.26456056146162e+16   e+O2(b1Sg+)->e+O(3P)+O(1D),eedf
  12 2.73231665420311e-15  (N/A)                 +4.90000000000000e+00 +5.45096795403051e+16   e+O3(X)->e+O(3P)+O2(X),eedf
  13 8.95699535446259e-19  (N/A)                 +0.00000000000000e+00 +1.72174536171364e+17   e+O2(X)->2e+O2(+,X),eedf
  14 1.94771599391895e-18  (N/A)                 +0.00000000000000e+00 +2.64686167125312e+16   e+O2(a1Dg)->2e+O2(+,X),eedf
  15 4.48709458170264e-19  (N/A)                 +0.00000000000000e+00 +3.72673313908019e+16   e+O(3P)->2e+O(+,gnd),eedf
  16 1.01398916249590e-14  (N/A)                 +0.00000000000000e+00 +3.71711261463266e+15   e+O(-,gnd)->2e+O(3P),eedf
  17 5.51653544124438e-22  (N/A)                 +0.00000000000000e+00 +1.06040797531052e+14   e+O2(X)->2e+O(3P)+O(+,gnd),eedf
  18 1.42761127460302e-21  (N/A)                 +0.00000000000000e+00 +1.94006188581557e+13   e+O2(a1Dg)->2e+O(3P)+O(+,gnd),eedf
  19 1.96931283360352e-17  (N/A)                 +1.27000000000000e+00 +3.78548285763114e+18   e+O2(X)->O(-,gnd)+O(3P),eedf
  20 9.35231222930906e-17  (N/A)                 +1.27000000000000e+00 +1.27093872282388e+18   e+O2(a1Dg)->O(-,gnd)+O(3P),eedf
  21 5.80896171477629e-15  (N/A)                 +6.91000000000000e+00 +7.43466356918579e+16   e+O2(+,X)->2O(3P),powerElectronTemp
